,owner,is_accepted,score,last_activity_date,creation_date,answer_id,question_id,content_license,comment,last_edit_date,community_owned_date
10,"{'account_id': 25879828, 'reputation': 28, 'user_id': 19609110, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoYgNWQpZYj747UivbQtoEWdcsDKC47GAivP5x-mg=k-s256', 'display_name': 'Fabiano Madeira', 'link': 'https://stackoverflow.com/users/19609110/fabiano-madeira'}",True,1,1658813918,1658813918,73118174,73116825,CC BY-SA 4.0,[],,
11,"{'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}",False,0,1658733726,1658733726,73105348,73103103,CC BY-SA 4.0,"[{'owner': {'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}, 'reply_to_user': {'account_id': 25885990, 'reputation': 1, 'user_id': 19614080, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoe1DhYQayv_1XkjN8_ps5fTfFYCkzD2k4qrGBuXQ=k-s256', 'display_name': 'kash', 'link': 'https://stackoverflow.com/users/19614080/kash'}, 'edited': False, 'score': 0, 'creation_date': 1658817674, 'post_id': 73105348, 'comment_id': 129138842, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25885990, 'reputation': 1, 'user_id': 19614080, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoe1DhYQayv_1XkjN8_ps5fTfFYCkzD2k4qrGBuXQ=k-s256', 'display_name': 'kash', 'link': 'https://stackoverflow.com/users/19614080/kash'}, 'edited': False, 'score': 0, 'creation_date': 1658779140, 'post_id': 73105348, 'comment_id': 129132073, 'content_license': 'CC BY-SA 4.0'}]",,
12,"{'account_id': 25155477, 'reputation': 75, 'user_id': 19000358, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3b684b295f9f930dc61f4afc179befe4?s=256&d=identicon&r=PG', 'display_name': 'Ivan', 'link': 'https://stackoverflow.com/users/19000358/ivan'}",False,0,1658736767,1658736767,73105952,73100413,CC BY-SA 4.0,[],,
13,"{'account_id': 17686754, 'reputation': 346, 'user_id': 12839543, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b40b5913fd6b3dd0452414a537c4f1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vector3', 'link': 'https://stackoverflow.com/users/12839543/vector3'}",True,0,1658685798,1658685798,73100862,73100413,CC BY-SA 4.0,[],,
14,"{'account_id': 17339570, 'reputation': 16, 'user_id': 12560607, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mD19Q52r8RehEZGsom08Sw_7P-BBk8R6VkUPFjKtw=k-s256', 'display_name': 'DevAX1T', 'link': 'https://stackoverflow.com/users/12560607/devax1t'}",True,0,1658827819,1658582006,73091048,73090984,CC BY-SA 4.0,[],1658827819.0,
15,"{'account_id': 25877346, 'reputation': 26, 'user_id': 19607080, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d29b25c452d521228ead34075575ba82?s=256&d=identicon&r=PG', 'display_name': 'MobiDev', 'link': 'https://stackoverflow.com/users/19607080/mobidev'}",False,0,1658581706,1658581706,73091015,73090984,CC BY-SA 4.0,"[{'owner': {'account_id': -1, 'reputation': 1, 'user_id': -1, 'user_type': 'moderator', 'profile_image': 'https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=256&d=identicon&r=PG', 'display_name': 'Community', 'link': 'https://stackoverflow.com/users/-1/community'}, 'edited': False, 'score': 0, 'creation_date': 1658774712, 'post_id': 73091015, 'comment_id': 129130666, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25816649, 'reputation': 19, 'user_id': 19556500, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68b2fd629b65b420f6af1c99170d5c1a?s=256&d=identicon&r=PG&f=1', 'display_name': 'takezo', 'link': 'https://stackoverflow.com/users/19556500/takezo'}, 'edited': False, 'score': 0, 'creation_date': 1658582307, 'post_id': 73091015, 'comment_id': 129089927, 'content_license': 'CC BY-SA 4.0'}]",,
16,"{'account_id': 25877346, 'reputation': 26, 'user_id': 19607080, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d29b25c452d521228ead34075575ba82?s=256&d=identicon&r=PG', 'display_name': 'MobiDev', 'link': 'https://stackoverflow.com/users/19607080/mobidev'}",True,1,1658581283,1658581283,73090976,73084901,CC BY-SA 4.0,"[{'owner': {'account_id': 25816649, 'reputation': 19, 'user_id': 19556500, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68b2fd629b65b420f6af1c99170d5c1a?s=256&d=identicon&r=PG&f=1', 'display_name': 'takezo', 'link': 'https://stackoverflow.com/users/19556500/takezo'}, 'edited': False, 'score': 1, 'creation_date': 1658581739, 'post_id': 73090976, 'comment_id': 129089812, 'content_license': 'CC BY-SA 4.0'}]",,
17,"{'account_id': 20721862, 'reputation': 11, 'user_id': 15216079, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/55i4n.png?s=256&g=1', 'display_name': 'drantini', 'link': 'https://stackoverflow.com/users/15216079/drantini'}",False,1,1658504740,1658504740,73082938,73082805,CC BY-SA 4.0,"[{'owner': {'account_id': 25420890, 'reputation': 88, 'user_id': 19226936, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ec12bc4477101dbf2c9ee0bf4df31708?s=256&d=identicon&r=PG', 'display_name': 'Random', 'link': 'https://stackoverflow.com/users/19226936/random'}, 'reply_to_user': {'account_id': 25871806, 'reputation': 1, 'user_id': 19602554, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmlX9Fuq_uNHBGlxiWVqTxUIuC1KwCU1ioO40YeZ=k-s256', 'display_name': 'CodeStuff', 'link': 'https://stackoverflow.com/users/19602554/codestuff'}, 'edited': False, 'score': 0, 'creation_date': 1658573025, 'post_id': 73082938, 'comment_id': 129088275, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25420890, 'reputation': 88, 'user_id': 19226936, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ec12bc4477101dbf2c9ee0bf4df31708?s=256&d=identicon&r=PG', 'display_name': 'Random', 'link': 'https://stackoverflow.com/users/19226936/random'}, 'reply_to_user': {'account_id': 2073637, 'reputation': 22633, 'user_id': 1847592, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/OvYt2.png?s=256&g=1', 'display_name': 'Egor Skriptunoff', 'link': 'https://stackoverflow.com/users/1847592/egor-skriptunoff'}, 'edited': False, 'score': 1, 'creation_date': 1658572987, 'post_id': 73082938, 'comment_id': 129088269, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 2073637, 'reputation': 22633, 'user_id': 1847592, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/OvYt2.png?s=256&g=1', 'display_name': 'Egor Skriptunoff', 'link': 'https://stackoverflow.com/users/1847592/egor-skriptunoff'}, 'edited': False, 'score': 0, 'creation_date': 1658513310, 'post_id': 73082938, 'comment_id': 129078622, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25871806, 'reputation': 1, 'user_id': 19602554, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmlX9Fuq_uNHBGlxiWVqTxUIuC1KwCU1ioO40YeZ=k-s256', 'display_name': 'CodeStuff', 'link': 'https://stackoverflow.com/users/19602554/codestuff'}, 'edited': False, 'score': 0, 'creation_date': 1658505455, 'post_id': 73082938, 'comment_id': 129076044, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 20721862, 'reputation': 11, 'user_id': 15216079, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/55i4n.png?s=256&g=1', 'display_name': 'drantini', 'link': 'https://stackoverflow.com/users/15216079/drantini'}, 'reply_to_user': {'account_id': 25871806, 'reputation': 1, 'user_id': 19602554, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmlX9Fuq_uNHBGlxiWVqTxUIuC1KwCU1ioO40YeZ=k-s256', 'display_name': 'CodeStuff', 'link': 'https://stackoverflow.com/users/19602554/codestuff'}, 'edited': False, 'score': 0, 'creation_date': 1658505267, 'post_id': 73082938, 'comment_id': 129075979, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 25871806, 'reputation': 1, 'user_id': 19602554, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmlX9Fuq_uNHBGlxiWVqTxUIuC1KwCU1ioO40YeZ=k-s256', 'display_name': 'CodeStuff', 'link': 'https://stackoverflow.com/users/19602554/codestuff'}, 'edited': False, 'score': 0, 'creation_date': 1658504970, 'post_id': 73082938, 'comment_id': 129075886, 'content_license': 'CC BY-SA 4.0'}]",,
18,"{'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}",False,3,1658440431,1658440431,73073038,73072007,CC BY-SA 4.0,"[{'owner': {'account_id': 24603068, 'reputation': 5, 'user_id': 18505671, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhTh5aApuiNWZmDFOkbq_fxzFwceao6ZLLO-JH5=k-s256', 'display_name': 'EndeX', 'link': 'https://stackoverflow.com/users/18505671/endex'}, 'edited': False, 'score': 0, 'creation_date': 1658917687, 'post_id': 73073038, 'comment_id': 129169318, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'reply_to_user': {'account_id': 24603068, 'reputation': 5, 'user_id': 18505671, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhTh5aApuiNWZmDFOkbq_fxzFwceao6ZLLO-JH5=k-s256', 'display_name': 'EndeX', 'link': 'https://stackoverflow.com/users/18505671/endex'}, 'edited': False, 'score': 0, 'creation_date': 1658494072, 'post_id': 73073038, 'comment_id': 129071579, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 24603068, 'reputation': 5, 'user_id': 18505671, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhTh5aApuiNWZmDFOkbq_fxzFwceao6ZLLO-JH5=k-s256', 'display_name': 'EndeX', 'link': 'https://stackoverflow.com/users/18505671/endex'}, 'edited': False, 'score': 0, 'creation_date': 1658493070, 'post_id': 73073038, 'comment_id': 129071259, 'content_license': 'CC BY-SA 4.0'}]",,
19,"{'account_id': 25160083, 'reputation': 148, 'user_id': 19004390, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Ex8fo.png?s=256&g=1', 'display_name': 'kingerman88', 'link': 'https://stackoverflow.com/users/19004390/kingerman88'}",True,0,1658418482,1658418482,73069198,73068142,CC BY-SA 4.0,"[{'owner': {'account_id': 25816649, 'reputation': 19, 'user_id': 19556500, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68b2fd629b65b420f6af1c99170d5c1a?s=256&d=identicon&r=PG&f=1', 'display_name': 'takezo', 'link': 'https://stackoverflow.com/users/19556500/takezo'}, 'edited': False, 'score': 0, 'creation_date': 1658423077, 'post_id': 73069198, 'comment_id': 129053675, 'content_license': 'CC BY-SA 4.0'}]",,
20,"{'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}",False,0,1658426342,1658426342,73070788,73067606,CC BY-SA 4.0,[],,
21,"{'account_id': 25160083, 'reputation': 148, 'user_id': 19004390, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Ex8fo.png?s=256&g=1', 'display_name': 'kingerman88', 'link': 'https://stackoverflow.com/users/19004390/kingerman88'}",False,0,1658466715,1658466715,73075375,73065545,CC BY-SA 4.0,"[{'owner': {'account_id': 20351787, 'reputation': 1, 'user_id': 14928315, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GghUToWKZWwrBCNY3l7fEFy3MRQS9v-_cpw69sEeg=k-s256', 'display_name': 'RonnebladA', 'link': 'https://stackoverflow.com/users/14928315/ronneblada'}, 'edited': False, 'score': 0, 'creation_date': 1658529949, 'post_id': 73075375, 'comment_id': 129082625, 'content_license': 'CC BY-SA 4.0'}]",,
22,"{'account_id': 17456251, 'reputation': 82, 'user_id': 12655022, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/69430083a6b7f70b1447d3df2538a0cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Braeden Lisowski', 'link': 'https://stackoverflow.com/users/12655022/braeden-lisowski'}",False,0,1658367759,1658367759,73059778,73059532,CC BY-SA 4.0,[],,
23,"{'account_id': 25420890, 'reputation': 88, 'user_id': 19226936, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ec12bc4477101dbf2c9ee0bf4df31708?s=256&d=identicon&r=PG', 'display_name': 'Random', 'link': 'https://stackoverflow.com/users/19226936/random'}",False,0,1658344058,1658344058,73056967,73056412,CC BY-SA 4.0,[],,
24,"{'account_id': 25481968, 'reputation': 1, 'user_id': 19278131, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fLdHA.png?s=256&g=1', 'display_name': 'TheOmegaLightning', 'link': 'https://stackoverflow.com/users/19278131/theomegalightning'}",False,0,1658938815,1658938815,73141445,73055287,CC BY-SA 4.0,[],,
25,"{'account_id': 25877346, 'reputation': 26, 'user_id': 19607080, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d29b25c452d521228ead34075575ba82?s=256&d=identicon&r=PG', 'display_name': 'MobiDev', 'link': 'https://stackoverflow.com/users/19607080/mobidev'}",False,0,1658582515,1658582515,73091107,73055287,CC BY-SA 4.0,[],,
26,"{'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}",False,0,1658300079,1658300079,73047147,73043440,CC BY-SA 4.0,[],,
27,"{'account_id': 17359821, 'reputation': 3, 'user_id': 12576382, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDLzPk9DD8YrFh-gvvPZ3I4TdVrphrnOzCMTWVtgg=k-s256', 'display_name': 'Heliodex', 'link': 'https://stackoverflow.com/users/12576382/heliodex'}",False,0,1658268172,1658268172,73043906,73043440,CC BY-SA 4.0,"[{'owner': {'account_id': 25848165, 'reputation': 11, 'user_id': 19582616, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucrhwUOhqJq4yo5Wf5vpLJ27a6ZaFMt4_GxymG4r=k-s256', 'display_name': 'beyblades rule', 'link': 'https://stackoverflow.com/users/19582616/beyblades-rule'}, 'edited': False, 'score': 0, 'creation_date': 1658269514, 'post_id': 73043906, 'comment_id': 129008942, 'content_license': 'CC BY-SA 4.0'}]",,
28,"{'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}",True,2,1658238646,1658238646,73038218,73037991,CC BY-SA 4.0,"[{'owner': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 2, 'creation_date': 1658244133, 'post_id': 73038218, 'comment_id': 129000994, 'content_license': 'CC BY-SA 4.0'}]",,
29,"{'account_id': 17686754, 'reputation': 346, 'user_id': 12839543, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b40b5913fd6b3dd0452414a537c4f1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vector3', 'link': 'https://stackoverflow.com/users/12839543/vector3'}",True,1,1659041751,1659041751,73159063,73158399,CC BY-SA 4.0,[],,
30,"{'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}",False,0,1659041127,1659041127,73158981,73158399,CC BY-SA 4.0,[],,
