,userid,username,followers,tweets,profile_desc,location,verified,entities,search_term
10,853429569851985920,whorescientist,17,173,i was dying and now i am starving,trapped in the paris catacombs,False,,233532
11,1418619716139110403,Faiurey,62,2983,probably listening to Radiohead,"sasha she her
15 white bi 
Main jjk aot & sxf
No dni just block
No subtwt | no tw",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kpKmzyk1Kz', 'expanded_url': 'https://Levi.xn--3h8h', 'display_url': 'Levi.🌺'}]}}",233532
12,1523727848372117504,Iibrita,30,173,manicomio es lo que pide la demente,,False,,233532
13,1375387205875728386,Mauro825603521,7,31,"random things
and many drawings",Argentina,False,,233532
14,1441943707712770050,DexHates,6,80,"im really fucking gay

rblx: Vocaloid_Dex",pussy paradise,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yHLsY26f4v', 'expanded_url': 'https://open.spotify.com/user/kiw8upidthpt09hyckmjropck?si=c3cd903a4c0e49ce', 'display_url': 'open.spotify.com/user/kiw8upidt…'}]}}",233532
15,1528499844016381953,Maaiine09,27,795,Hi!,,False,,233532
16,1366595065385082884,dcrlinq_avril,9696,69441,"❝ without you, nothing would be the same ❞
꒰ა she/her ┊#avrilistrusted ໒꒱",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/G6Aai7M9ev', 'expanded_url': 'http://smile.com', 'display_url': 'smile.com'}]}, 'description': {'hashtags': [{'start': 55, 'end': 70, 'tag': 'avrilistrusted'}]}}",233532
17,1486367036158664712,TGJ2345,11,179,"I hang the latest news from Roblox theme parks

The discord/dizzy server: https://t.co/V3ohdVXJnn",,False,"{'description': {'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/V3ohdVXJnn', 'expanded_url': 'http://discord.gg/NKQnyg4h', 'display_url': 'discord.gg/NKQnyg4h'}]}}",233532
18,1538206082174226434,xDiego_644,0,37,XD,,False,,233532
19,1493049311868956672,EL30DEGAVI,1523,10460,"Soldado de la #XAVINETA  y  #SCALONETA 

aquí solo se permite gente que confíe en Pablo Martin Paez Gavira/ para la selección @gxldelCUTI",estoy atrás tuyo HIJOPUTA 👹,False,"{'description': {'hashtags': [{'start': 14, 'end': 23, 'tag': 'XAVINETA'}, {'start': 28, 'end': 38, 'tag': 'SCALONETA'}], 'mentions': [{'start': 126, 'end': 137, 'username': 'gxldelCUTI'}]}}",233532
20,1521146319032799232,FeedieGus,3,30,Feedie,,False,,233532
21,747537706125692928,DestactRBX,531,665,"👋 Howdy, owner of Sad Box Studio",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dbQJ6gxQHI', 'expanded_url': 'https://www.roblox.com/users/362956857/profile', 'display_url': 'roblox.com/users/36295685…'}]}}",233532
22,1415890445050073091,Woddidle,134,3674,Has never taken an L | Certified Sigma Male | Straight and Asian | Pronouns: Micheal Jackson | officially a homunculus,,False,,233532
23,1486837955624718338,Kiokoawawawaw,228,6492,"he/him ||
I have pet fish and turtle ||
I do art||
日本語N4||
I swear sometimes.,,.||
CRK, FNAF, 🐟",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wCXDkYYpMa', 'expanded_url': 'http://ko-fi.com/kiko304610', 'display_url': 'ko-fi.com/kiko304610'}]}}",233532
24,1387145322808422409,glaamrockz,2016,75328,“Artist” • Trad/Digital(?) • IC @Yarre_Llii • SARNIE CANON?!?!,"☆ They Them
☆ 16 • Carrd byf 
☆ Gaslight Gatekeep Glamrock ",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Gme3CNsSmf', 'expanded_url': 'http://glaamrockz.carrd.co', 'display_url': 'glaamrockz.carrd.co'}]}, 'description': {'mentions': [{'start': 32, 'end': 43, 'username': 'Yarre_Llii'}]}}",233532
25,1392970777188765712,hobinihilista,308,9708,"-𝗘𝗹 𝗡𝗮𝗺²𝘀𝗲𝗼𝗸 𝘆 𝘆𝗼 𝘃𝗶𝗲𝗻𝗱𝗼 𝗲𝗹 𝘀𝘁𝗿𝗲𝗮𝗺 𝗱𝗲 𝗡𝗮𝘁𝗮𝗹𝗮𝗻-   
                  ああ、神様！！ 防弾少年団私はあなたをとても愛しています、す",Viviendo por Bangtan,False,,233532
26,1536209538181120000,MalingK49357053,0,1,Khontol,,False,,233532
27,1515708131925504005,CrimeCityM,1,30,"Crime City Official Page
https://t.co/tFxHdqSccg…",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tgGVf27zzH', 'expanded_url': 'https://www.roblox.com/games/9760067654/Crime-City', 'display_url': 'roblox.com/games/97600676…'}]}, 'description': {'urls': [{'start': 25, 'end': 48, 'url': 'https://t.co/tFxHdqSccg', 'expanded_url': 'http://roblox.com/games/97600676', 'display_url': 'roblox.com/games/97600676'}]}}",233532
28,863689794,russotalks,478597,5418,Dad/YouTuber RussoPlays and 1/3 of @robloxbattles Business:russotalks@gmail.com,"Florida, USA",True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UzVi92F30w', 'expanded_url': 'https://www.youtube.com/c/russoplaysgames/about', 'display_url': 'youtube.com/c/russoplaysga…'}]}, 'description': {'mentions': [{'start': 35, 'end': 49, 'username': 'robloxbattles'}]}}",233532
29,1455262934712688644,JonathonKoskela,22,69,,,False,,233532
30,1506800401890222081,ClickerSim1,191582,71,"Play Clicker Simulator! ⚡
Discord server: https://t.co/vvrgYdXe9l
https://t.co/utTug61x7H",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6QcRAPVUSt', 'expanded_url': 'https://www.roblox.com/games/7560156054', 'display_url': 'roblox.com/games/75601560…'}]}, 'description': {'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/vvrgYdXe9l', 'expanded_url': 'http://discord.gg/pressurestudios', 'display_url': 'discord.gg/pressurestudios'}, {'start': 66, 'end': 89, 'url': 'https://t.co/utTug61x7H', 'expanded_url': 'http://tiktok.com/@playclickersim', 'display_url': 'tiktok.com/@playclickersim'}]}}",233532
31,954738320545865728,MrgvsmRoblox,72,4164,"This Is An official Twitter account for Mr GVSMRB - ROBLOX On YouTube, I upload daily videos, and I like anime :)",United States ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cn0pVq3pI2', 'expanded_url': 'https://youtube.com/MrGVSMROBLOX', 'display_url': 'youtube.com/MrGVSMROBLOX'}]}}",233532
32,814805613385515008,RoBuilderYT,16169,1512,"success is like being pregnant, everyone says congratulations but nobody knows how many times you got fucked.  @Torbin_Co",,False,"{'description': {'mentions': [{'start': 111, 'end': 121, 'username': 'Torbin_Co'}]}}",233532
33,1535957170080165889,BestRoblox11,978,1164,"Visit https://t.co/89fDUmpqqU for the best Roblox videos, memes, trends and edits.",,False,"{'description': {'urls': [{'start': 6, 'end': 29, 'url': 'https://t.co/89fDUmpqqU', 'expanded_url': 'https://bestroblox.com/', 'display_url': 'bestroblox.com'}]}}",233532
34,1483647107571535874,melodysogoat,283,47681,yy es i am tthe  real trix ie hi!!😁,Equestria,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hw2tYMzmtW', 'expanded_url': 'http://txti.es/trixiesocool', 'display_url': 'txti.es/trixiesocool'}]}}",233532
35,1454413566426112003,Rangerfy12,0,3,,,False,,233532
36,1392460624484044801,kebabhvh,0,5,,,False,,233532
37,1428625188263022595,sussyguylol,11,275,yeah in sussy poster? questions?,,False,,233532
38,16745055,Roblox,5128818,10281,"Bringing the world together to play, create, explore, and socialize within millions of 3D virtual worlds. 

For support, go to https://t.co/yRCNeQf3Nf.",California,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nETwh2gRPi', 'expanded_url': 'https://rblx.co/Roblox', 'display_url': 'rblx.co/Roblox'}]}, 'description': {'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/yRCNeQf3Nf', 'expanded_url': 'http://rblx.co/help', 'display_url': 'rblx.co/help'}]}}",233532
39,1309458823464189952,LamerLee3929,29,1831,"He/Him | I live in Malaysia | I play RBLX and I love Statistics/Data 

I try to tweet stuff",Living in Malaysia is shit,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rlDniFGL9d', 'expanded_url': 'https://linktr.ee/LameLee', 'display_url': 'linktr.ee/LameLee'}]}}",233532
40,1056053249470541824,Roblox_RTC,457116,24465,It's our mission to be one with the community and make this the best place to be! | We are *NOT* @Roblox! | DM 💌 with new info! | Layout by: @PazeTweets,Following ≠ Endorsement,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/t4QnFMvIXg', 'expanded_url': 'http://rtcnews.ca', 'display_url': 'rtcnews.ca'}]}, 'description': {'mentions': [{'start': 97, 'end': 104, 'username': 'Roblox'}, {'start': 141, 'end': 152, 'username': 'PazeTweets'}]}}",233532
41,1408443621695791111,robin68438572,74,23962,,,False,,233532
42,1437336363641151489,HabitTrade,7778,552,"The first #crypto friendly global #stock trading platform.
Make global #investments with #USDT!
Join community: https://t.co/6rQMSbs1Q8 and Make Trading A Habit!",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/byOzJ0uAKH', 'expanded_url': 'http://www.habittrade.com', 'display_url': 'habittrade.com'}]}, 'description': {'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/6rQMSbs1Q8', 'expanded_url': 'http://t.me/habittrade', 'display_url': 't.me/habittrade'}], 'hashtags': [{'start': 10, 'end': 17, 'tag': 'crypto'}, {'start': 34, 'end': 40, 'tag': 'stock'}, {'start': 71, 'end': 83, 'tag': 'investments'}, {'start': 89, 'end': 94, 'tag': 'USDT'}]}}",233532
43,1572939854,unity,41192,276,"Keep your finger on the pulse of all the latest Unity news 📣 Follow us:
🎮 @unitygames | 👯 @digitaltwin | 🕹️ @poweredbyunity | 🏞 @assetstore",San Francisco,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FDIXfqlogL', 'expanded_url': 'http://unity.com', 'display_url': 'unity.com'}]}, 'description': {'mentions': [{'start': 74, 'end': 85, 'username': 'unitygames'}, {'start': 90, 'end': 102, 'username': 'digitaltwin'}, {'start': 108, 'end': 123, 'username': 'poweredbyunity'}, {'start': 128, 'end': 139, 'username': 'assetstore'}]}}",233532
44,1468029410250870789,khalil362710,99,168,,,False,,233532
45,1449719881885118483,fahim3751,94,94,১০০ % ফলোব্যাক,,False,,233532
46,869265844680835073,tnf43,327,6223,@otoprotocol,"Dhaka, Bangladesh",False,"{'description': {'mentions': [{'start': 0, 'end': 12, 'username': 'otoprotocol'}]}}",233532
47,1382110600080203782,Miraj33909664,223,9994,"Simple Crypto youtuber
: https://t.co/NCjna1LBiO…",amarican ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YddxczzFMT', 'expanded_url': 'https://t.me/AMJOfficialEarningBD', 'display_url': 't.me/AMJOfficialEar…'}]}, 'description': {'urls': [{'start': 25, 'end': 48, 'url': 'https://t.co/NCjna1LBiO', 'expanded_url': 'http://t.me/AMJOfficialEar', 'display_url': 't.me/AMJOfficialEar'}]}}",233532
48,1505377628487778305,terrani_3,6,20,DEVELOPER,,False,,233532
49,972912446519365632,3_terrani,16,857,,"Japón,tokio ",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hq5AwGD9Lu', 'expanded_url': 'https://www.youtube.com/channel/UCC4U6f4iS4R4_4YsVLA326Q', 'display_url': 'youtube.com/channel/UCC4U6…'}]}}",233532
50,1100902970659692544,Dallas_rblx,253,1962,"Schizophrenic, anxious and happy roblox builder and translator
20. Argentinian.
https://t.co/Oex0JcTs9h","My own mind, my own world",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eEUBndq6uf', 'expanded_url': 'https://talent.roblox.com/creators/220512219', 'display_url': 'talent.roblox.com/creators/22051…'}]}, 'description': {'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/Oex0JcTs9h', 'expanded_url': 'http://neutraholic.carrd.co', 'display_url': 'neutraholic.carrd.co'}]}}",233532
51,1440491745691594765,auxnos,10,56,"i know how to lua
auxnos btw",Roblox HQ,False,,233532
52,1281830614392610822,Loomiquu,84,570,"Hello I am Loomi, Loomiquu, Casey. I am 16 and I uhhh code in Lua & C# also I do art and 3D modeling ;w; DNI - NSFW & CRYPTO/NFTs",illinois ,False,,233532
53,1480833615638380547,Dippwiipp,2,0,,,False,,233532
54,1480899409,Koneko_Lixue,19,434,"Ahooi! 

Learning LUA 
Animator (ROBLOX)
Video editor",I live on the planet Earth,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tdEOZgz3rX', 'expanded_url': 'https://twitter.com/Koneko_Lixue', 'display_url': 'twitter.com/Koneko_Lixue'}]}}",233532
55,1426024512080932867,Eyezik_,16,923,"I do not know what to put here.
I think I am just too lazy to remake my bio.
PRIVATE: @EyezikPrivate_",Canada,False,"{'description': {'mentions': [{'start': 86, 'end': 101, 'username': 'EyezikPrivate_'}]}}",233532
56,1418637973369888769,brianaa999,6,93,🤷‍♀️,,False,,233532
57,1423829839358922755,JacintoMontez,27,1538,"Jesus saves. God heals.
ig: jacintomontez_",The Valley,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YLQiaqtd7E', 'expanded_url': 'http://afsp.org', 'display_url': 'afsp.org'}]}}",233532
58,1533352333072994304,kissesforaki,95,2478,geralt enjoyer ⚔️ she/he/they 🇲🇽 🇸🇻 dms open 🫡,19 || bi,False,,233532
59,1187177608372510721,IL0VEKUGISAKI,5991,169453,nerdices e reclamações (ela/dela),provavelmente dormindo,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SLQg8pE2iG', 'expanded_url': 'http://tanjiro.xn--c6h', 'display_url': 'tanjiro.♡'}]}}",233532
60,1400548364668841990,itsh4chi,631,17061,"⠀⠀⠀""hey.. @edwmiya"" ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀amo meu namo aaron cornao",てあもあてオフィも🎸,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Svf4PjCZRn', 'expanded_url': 'http://kurt.sz', 'display_url': 'kurt.sz'}]}, 'description': {'mentions': [{'start': 10, 'end': 18, 'username': 'edwmiya'}]}}",233532
61,1108159013966041088,edwmiya,571,19874,''hey.. @itsh4chi '' you are my meow meow.,.💌,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DdIk96GmXB', 'expanded_url': 'http://nanarenbissexual.carrd.co', 'display_url': 'nanarenbissexual.carrd.co'}]}, 'description': {'mentions': [{'start': 8, 'end': 17, 'username': 'itsh4chi'}]}}",233532
62,1302143825742368769,tentsukuu,91,414,"ONE PIECE GREATNESS!

Discord: tsugaa#3528 (comms open)

for some non roblox art made by me:https://t.co/fxjHDvptyc",,False,"{'description': {'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/fxjHDvptyc', 'expanded_url': 'https://twitter.com/Tentsukuu1', 'display_url': 'twitter.com/Tentsukuu1'}]}}",233532
63,1027982109946925057,bunhe_,263,3792,i talk louder when you're not around,llorando ,False,,233532
64,1422930614098010120,krlnpskid,596,7681,dtqk over your mom,"she/her.
xav vin vars",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BB5318mTee', 'expanded_url': 'https://krlnpskid.carrd.co', 'display_url': 'krlnpskid.carrd.co'}]}}",233532
65,1422124344361111559,tinastream,5809,44980,late night talking is so karlnap vibes,"s!they pup petal 🧸
you’re my home + 
eli fern air ‹3 !17¡
tqm reid & quackity
ic: primblu 🪷",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RyLPDONutR', 'expanded_url': 'http://glaive.xn--jhfz3g/', 'display_url': 'glaive.ᥫ᭡'}]}}",233532
66,1531584449653051393,thunder57714331,0,1,"On YouTube 

Link for my channel 

https://t.co/IzDW4zGDnS",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/IzDW4zGDnS', 'expanded_url': 'https://youtube.com/channel/UC0ae8kFlrwXAeusOsl16NJA', 'display_url': 'youtube.com/channel/UC0ae8…'}]}, 'description': {'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/IzDW4zGDnS', 'expanded_url': 'https://youtube.com/channel/UC0ae8kFlrwXAeusOsl16NJA', 'display_url': 'youtube.com/channel/UC0ae8…'}]}}",233532
67,1138269590599995395,Draction3,10,104,"yooo I play a lot of games

Made my cool banner in Roblox studio no other software.",,False,,233532
68,1350364925122678794,Hooty54892854,43,1849,Hoot hoot 🦉,,False,,233532
69,1443918191420448795,MaisieTheFaun,0,2,Hello! I'm Maisie! I'm a half human half faun creature! I enjoy everything Renaissance Faire related! That is kinda my hyperfixation right now.,,False,,233532
70,1423313664019468292,DaanTheGamer,6393,366,"Youtuber/Gamer/Twitch Streamer
Plays Roblox Simulators",,False,,233532
71,1466484705843425289,D4NIELx3,12,256,alt account for -@SWEETxD4NIEL😛😛 #ChanningTatum 🤭🤭,He/him🤍,False,"{'description': {'hashtags': [{'start': 33, 'end': 47, 'tag': 'ChanningTatum'}], 'mentions': [{'start': 17, 'end': 30, 'username': 'SWEETxD4NIEL'}]}}",233532
72,1295203826128084992,Kravik_,70,6570,|🇺🇸/18/Male| EVERYONE is EQUALLY loved! | Mostly into: #Dokkanbattle & #DBLegends,#BLM✊🏿✊🏾✊🏽,False,"{'description': {'hashtags': [{'start': 55, 'end': 68, 'tag': 'Dokkanbattle'}, {'start': 71, 'end': 81, 'tag': 'DBLegends'}]}}",233532
73,1499930690627981313,jah_overton,2,17,me a small YT,,False,,233532
74,10228272,YouTube,75489890,44870,like and subscribe.,"San Bruno, CA",True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/bUisN3Gqbw', 'expanded_url': 'http://youtube.com', 'display_url': 'youtube.com'}]}}",233532
75,1540942935297970176,Parker04460847,0,2,,,False,,233532
76,4109030356,MintyGlobe,283,7927,||🇺🇲🇲🇽|| Mini streamer ||Artista en crecimiento|| Dibujo Nsfw 🔞|| Lvl: 19|| Pfp: @eNXtzu || My love @Mr_Gustosraros ❤️|| she/her|| Bisexual ||,Pinewood City ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5uY6Ik27zR', 'expanded_url': 'http://www.twitch.tv/mint_globe', 'display_url': 'twitch.tv/mint_globe'}]}, 'description': {'mentions': [{'start': 81, 'end': 88, 'username': 'eNXtzu'}, {'start': 100, 'end': 115, 'username': 'Mr_Gustosraros'}]}}",233532
77,1301180904048656384,beni18_zaza,397,3165,"ZaZa 4ever
 -VIP🔥 Comandito81 -VIP 🦝 Victoria",Con el mejor del Mundo,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fcwnRSu9Wv', 'expanded_url': 'http://twitch.tv/elmariana', 'display_url': 'twitch.tv/elmariana'}]}}",233532
78,618520610,Anzaecdi,484,8375,"Your friendly neighborhood || 21 años
M.A. de @JuanSGuarnizo
https://t.co/FZeOEkoJrv","Mérida, Yucatán",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cJFmB8z3RI', 'expanded_url': 'https://www.twitch.tv/anzaecdi', 'display_url': 'twitch.tv/anzaecdi'}]}, 'description': {'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/FZeOEkoJrv', 'expanded_url': 'http://anzaecdi.carrd.co', 'display_url': 'anzaecdi.carrd.co'}], 'mentions': [{'start': 46, 'end': 60, 'username': 'JuanSGuarnizo'}]}}",233532
79,1491441129610379266,ch_aoe,24,1040,hi! im blue 💙,,False,,233532
80,1477641247661637633,watchfoxdeals,268,24366,"A bot that tracks Roblox limited item deals.
Turn on Twitter notifs for notifs. 
Owner: @Chloe_Woahie | fekie#7808
Join the Discord! https://t.co/3C1QwJOfgy",,False,"{'description': {'urls': [{'start': 133, 'end': 156, 'url': 'https://t.co/3C1QwJOfgy', 'expanded_url': 'http://discord.gg/zzUNvdMGJk', 'display_url': 'discord.gg/zzUNvdMGJk'}], 'mentions': [{'start': 88, 'end': 101, 'username': 'Chloe_Woahie'}]}}",233532
81,812981887098585088,real_rogenus,257,759,"|3D artist & entrepreneur|
|Owner of @corma_games and Flying Fireball Co.|
|Email: contact.rogenus@gmail.com|",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/d3lVens3ar', 'expanded_url': 'https://www.roblox.com/groups/2985968', 'display_url': 'roblox.com/groups/2985968'}]}, 'description': {'mentions': [{'start': 37, 'end': 49, 'username': 'corma_games'}]}}",233532
82,1301659340898697216,antheialol,727,4372,"she / her
contributor @ GamesReborn & https://t.co/5fj0cTjYVS
🏳️‍🌈",,False,"{'description': {'urls': [{'start': 38, 'end': 61, 'url': 'https://t.co/5fj0cTjYVS', 'expanded_url': 'http://lick.io', 'display_url': 'lick.io'}]}}",233532
83,1537162571454857218,reipods,133,874,hitting that sim jaeyun pack,she her 17,False,,233532
84,1516121844289613831,vmnsfrnds,711,7601,taehyung cuddles me to sleep every night,cami she 15 ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fwd1NXkEbr', 'expanded_url': 'http://jjksass.carrd.co', 'display_url': 'jjksass.carrd.co'}]}}",233532
85,1362652256198254594,JoseRod87718030,0,6,hi,,False,,233532
86,1227952086408667138,roksekYT,1753,88,"● @StudioPowerful Owner
● 50M+ Visits 
● 2M+ Group Members",Poland,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gvEVAv4UHg', 'expanded_url': 'https://www.roblox.com/users/273406731/profile', 'display_url': 'roblox.com/users/27340673…'}]}, 'description': {'mentions': [{'start': 2, 'end': 17, 'username': 'StudioPowerful'}]}}",233532
87,1236281983585697792,StuffRoniSays,84,16103,musical theatre nerd who accidentally became obsessed with a lot of things,practice,False,,233532
88,1484055802038079488,MartnezMelanie1,382,1197,° Vip de Anzaecdi ✨,"Monterrey, Nuevo León",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/W0XAwbcZFG', 'expanded_url': 'https://www.twitch.tv/anzaecdi', 'display_url': 'twitch.tv/anzaecdi'}]}}",233532
89,1533273156693045249,haladay423,1,8,I am a blue lover,,False,,233532
90,1540940741341753344,FriendlyFish922,1,2,,,False,,233532
91,1356093097835327493,BoxOfJeus,25,2394,very tall filipino male // professional valorant player for Brog University,,False,,233532
92,1474814258441510912,valenti46016047,12,550,hola soy Bunny2277  UwU Aqui Encontrarás 💖 Mis Dibujos que Yo Dibujo 💕 Si Alguien Quiere un Dibujo Yo se lo Hago Feliz 😀,Chile,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lVe27kCjm1', 'expanded_url': 'https://youtube.com/channel/UCKKc-hsRUdYZQmCR7KKqW5g', 'display_url': 'youtube.com/channel/UCKKc-…'}]}}",233532
93,1009162593318195201,Soyfenita,1263,9388,Escorpio y malhumorada (200k+ Tiktok) y Streamer 📩  @NitradoES Partner Soyfenacontacto@gmail.com,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/sPG5C5ixiT', 'expanded_url': 'https://linktr.ee/soyfena', 'display_url': 'linktr.ee/soyfena'}]}, 'description': {'mentions': [{'start': 52, 'end': 62, 'username': 'NitradoES'}]}}",233532
94,1538225790608875520,DevPostNotifier,5,753,"I will notify you of new devforum posts! 

made by @Biack1st",,False,"{'description': {'mentions': [{'start': 51, 'end': 60, 'username': 'Biack1st'}]}}",233532
95,1511234961810018304,sisicopyninja,168,435,big tiddy succubus,Hidden Queef Village,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/17uG4QcoyJ', 'expanded_url': 'http://linktr.ee/sierrathecopyninja', 'display_url': 'linktr.ee/sierrathecopyn…'}]}}",233532
